EA,T,value
0,7535,6.670700249411701e-09
0,7536,6.67071747757311e-09
0,7537,6.670726916145098e-09
0,7538,6.670727245147094e-09
0,7539,6.670725748561002e-09
0,7540,6.670718759757376e-09
0,7541,6.670701796956142e-09
0,7542,6.670638357944137e-09
0,7543,2.634531359853255e-09
0,7544,6.568937754289769e-10
0,7545,2.633079367203622e-09
0,7546,2.6337547341933653e-09
0,7547,2.6339471063125762e-09
0,7548,2.6341110801385825e-09
0,7549,2.6351627754942936e-09
0,7550,2.6340554877543505e-09
0,7551,2.6338656238242103e-09
0,7552,3.988914543895846e-11
0,7553,2.0831463107739595e-11
0,7554,2.6337733582460133e-09
0,7555,6.666063139300185e-09
0,7556,6.670535056020881e-09
0,7557,6.670655108618674e-09
0,7558,6.6706897156718526e-09
0,7559,6.670716280404695e-09
0,7560,6.670750810724311e-09
0,7561,6.6707898398646095e-09
0,7562,6.670811506993658e-09
0,7563,6.67083821882563e-09
0,7564,6.670829052279121e-09
0,7565,6.670775794822523e-09
0,7566,6.6707117685126005e-09
0,7567,6.6706572920163494e-09
0,7568,6.670600998215145e-09
0,7569,6.670643550926107e-09
0,7570,6.670667558260652e-09
0,7571,6.6706768870275235e-09
0,7572,6.670691664001791e-09
0,7573,6.670687118460466e-09
0,7574,6.670664596871685e-09
0,7575,6.670588865789547e-09
0,7576,6.67041066862356e-09
0,7577,6.6702747333253725e-09
0,7578,6.67059035031389e-09
0,7579,6.670665240942833e-09
0,7580,6.670694317799214e-09
0,7581,6.670711356365003e-09
0,7582,6.6707305829541145e-09
0,7583,6.6707651516392414e-09
0,7584,6.6708593097579755e-09
0,7585,6.670900419025692e-09
0,7586,6.670903675554819e-09
0,7587,6.670861970086869e-09
0,7588,6.6708169409056796e-09
0,7589,6.670760213775972e-09
0,7590,6.670703693980448e-09
0,7591,6.670628894953884e-09
0,7592,6.6705507508408975e-09
0,7593,6.670647853117407e-09
0,7594,6.670675086518387e-09
0,7595,6.670693361489699e-09
0,7596,6.67070866326017e-09
0,7597,6.670706256072155e-09
0,7598,6.670669370748529e-09
0,7599,6.67053391089417e-09
0,7600,6.670354013511982e-09
0,7601,6.670317350546363e-09
0,7602,6.670630443457166e-09
0,7603,6.670684271776701e-09
0,7604,6.67071080914445e-09
0,7605,6.670731069290787e-09
0,7606,6.670760609227703e-09
0,7607,6.670812576116103e-09
0,7608,6.670874387347624e-09
0,7609,6.6709060790768755e-09
0,7610,6.670878429613312e-09
0,7611,6.670827619660957e-09
0,7612,6.670806855784973e-09
0,7613,6.670768172839746e-09
0,7614,6.670732814279455e-09
0,7615,6.670705835129814e-09
0,7616,6.670700943909261e-09
0,7617,6.670721366280195e-09
0,7618,6.670764380521622e-09
0,7619,6.670791174160036e-09
0,7620,6.670823369470703e-09
0,7621,6.670816865878889e-09
0,7622,6.6707439285748385e-09
0,7623,6.670697655503743e-09
0,7624,6.670667704267109e-09
0,7625,6.670647606291159e-09
0,7626,6.670683407445647e-09
0,7627,6.670710228057825e-09
0,7628,6.670747672006456e-09
0,7629,6.670853441010579e-09
0,7630,6.671164517849984e-09
0,7631,1979.324142062276
0,7632,7491.808132445763
0,7633,10540.088549231541
0,7634,12844.778190083225
0,7635,12858.55956838549
0,7636,12905.08902855645
0,7637,10952.566566381174
0,7638,7122.38726534812
0,7639,1844.2294683851505
0,7640,1380.1603688359878
0,7641,6872.40132049323
0,7642,13031.320794196961
0,7643,13031.320794196961
0,7644,13031.320794196961
0,7645,13031.320794196963
0,7646,9140.1191199598
0,7647,6.69596720333085e-09
0,7648,6.671499608801891e-09
0,7649,6.671283204509741e-09
0,7650,6.673513381837613e-09
0,7651,3333.085187717918
0,7652,6783.603952628569
0,7653,11750.975927768497
0,7654,9009.785679752178
0,7655,13031.320794196961
0,7656,13031.320794196963
0,7657,13031.320794196961
0,7658,13031.320794196963
0,7659,13031.320794196961
0,7660,13031.320794196963
0,7661,13031.320794196961
0,7662,5925.608539407896
0,7663,6.670902082705127e-09
0,7664,6.670761796256287e-09
0,7665,6.6708144263299805e-09
0,7666,6.670953232067819e-09
0,7667,6.671594042925464e-09
0,7668,6.671593185516363e-09
0,7669,6.6709101427055815e-09
0,7670,6.670741136996496e-09
0,7671,6.670705539583078e-09
0,7672,6.670685235543494e-09
0,7673,6.670671722407605e-09
0,7674,6.67068946673734e-09
0,7675,6.6707135920339284e-09
0,7676,6.670744709126711e-09
0,7677,6.670826392837918e-09
