IA,T,value
0,6548,2.1747413240060572e-06
0,6549,2.1747336495594755e-06
0,6550,2.1747307296844133e-06
0,6551,2.1747270381204317e-06
0,6552,2.1747201956274966e-06
0,6553,2.174711049464503e-06
0,6554,2.174699516761325e-06
0,6555,2.1746938407684463e-06
0,6556,2.174702618117086e-06
0,6557,2.1747198436737874e-06
0,6558,2.174728905695103e-06
0,6559,2.1747307986299137e-06
0,6560,2.174728904166161e-06
0,6561,2.1747179905962e-06
0,6562,2.174341033295106e-06
0,6563,1.6447617367015745e-06
0,6564,1.6447591715321435e-06
0,6565,1.6447590454485381e-06
0,6566,1.6447727716072027e-06
0,6567,2.1747247091583218e-06
0,6568,2.1747330071761935e-06
0,6569,2.174738814215071e-06
0,6570,2.1747366537301725e-06
0,6571,2.1747342876471485e-06
0,6572,2.174731723755992e-06
0,6573,2.1747307883779148e-06
0,6574,2.174729700534124e-06
0,6575,2.174727697933348e-06
0,6576,2.1747256886211434e-06
0,6577,2.174726226705911e-06
0,6578,2.1747262787595416e-06
0,6579,2.1747271761350315e-06
0,6580,2.1747281343177834e-06
0,6581,2.1747293974772822e-06
0,6582,2.1747318655173774e-06
0,6583,2.1747325374302066e-06
0,6584,2.174729955567098e-06
0,6585,2.1747201531213504e-06
0,6586,2.1746570598188495e-06
0,6587,1.138947402193509e-06
0,6588,1.1389243854591571e-06
0,6589,1.1389237477732895e-06
0,6590,1.138923764260752e-06
0,6591,1.3151903449637459e-06
0,6592,1.3160373558498712e-06
0,6593,1.31603832071738e-06
0,6594,1.3160371603925056e-06
0,6595,1.3160333240504543e-06
0,6596,1.3160167938205784e-06
0,6597,5.150720027516115e-07
0,6598,5.150594147262087e-07
0,6599,5.150586738055917e-07
0,6600,5.150584584056824e-07
0,6601,5.150583364479e-07
0,6602,5.150582617486472e-07
0,6603,5.150582214191453e-07
0,6604,5.150581997373786e-07
0,6605,5.150581910006065e-07
0,6606,5.150581925850053e-07
0,6607,5.150581942843296e-07
0,6608,5.150581945764137e-07
0,6609,5.150581941959129e-07
0,6610,5.150582043867086e-07
0,6611,5.150582415142362e-07
0,6612,5.150583148373113e-07
0,6613,5.150584879561005e-07
0,6614,5.150592508153316e-07
0,6615,1.316037821856228e-06
0,6616,2.1746959488534202e-06
0,6617,2.1747146470697896e-06
0,6618,2.1747169198910437e-06
0,6619,2.174717027448236e-06
0,6620,2.1747160914322144e-06
0,6621,2.174714222205436e-06
0,6622,2.1747103100355856e-06
0,6623,2.1746991656970954e-06
0,6624,2.174690680558939e-06
0,6625,2.1746335574219892e-06
0,6626,1.3161085042788165e-06
0,6627,1.3160289365069574e-06
0,6628,1.3156057197152675e-06
0,6629,5.150628788549321e-07
0,6630,5.150599512780771e-07
0,6631,5.150585491065125e-07
0,6632,5.150581056459773e-07
0,6633,5.15057941109353e-07
0,6634,5.150578795326869e-07
0,6635,5.150578623098643e-07
0,6636,5.150578601430863e-07
0,6637,5.150578740717774e-07
0,6638,5.150579376473328e-07
0,6639,5.150581624253198e-07
0,6640,2.1735397770915755e-06
0,6641,2.174721918855394e-06
0,6642,2.174724683524096e-06
0,6643,2.1747241336364867e-06
0,6644,2.1747214834111784e-06
0,6645,2.1747150117149526e-06
0,6646,2.1746935003584544e-06
0,6647,2.174218248600585e-06
0,6648,1.6447528777521932e-06
0,6649,1.6447487084963238e-06
0,6650,1.64474882157384e-06
0,6651,1.6447478596991628e-06
0,6652,1.6447500333816208e-06
0,6653,2.1745028949118807e-06
0,6654,2.1747170230745645e-06
0,6655,2.174727900120573e-06
0,6656,2.174727911523778e-06
0,6657,2.1747232140736667e-06
0,6658,2.1747103985188428e-06
0,6659,2.1746821966782404e-06
0,6660,2.1746618435142077e-06
0,6661,2.1746464938542966e-06
0,6662,2.1747074329537663e-06
0,6663,2.1747277133604605e-06
0,6664,2.1747309869894413e-06
0,6665,2.1747321502895833e-06
0,6666,2.174731437038944e-06
0,6667,2.17472965061854e-06
0,6668,2.1747252413658463e-06
0,6669,2.17471562489655e-06
0,6670,2.1746766870132505e-06
0,6671,1.6447287590807234e-06
0,6672,1.644719769833226e-06
0,6673,1.6447177982477877e-06
0,6674,1.6447170908702718e-06
0,6675,1.6447170743622095e-06
0,6676,1.6447172709814061e-06
0,6677,1.64471835466945e-06
0,6678,1.6447324733396586e-06
0,6679,2.174674896379637e-06
0,6680,2.1746749358192256e-06
0,6681,1.6447419805692975e-06
0,6682,1.6447331746872757e-06
0,6683,1.6447398308609348e-06
